diameter,x_center,Re,Cd,channel_height,U_inlet,blockage_ratio,flow_regime
0.352982,1.000589,35.3,1.49283,2.0,0.001,0.176491,0
0.352982,1.103366,35.3,1.46612,2.0,0.001,0.176491,0
0.352982,1.209432,35.3,1.45193,2.0,0.001,0.176491,0
0.352982,1.315086,35.3,1.44121,2.0,0.001,0.176491,0
0.352982,1.420821,35.3,1.4331,2.0,0.001,0.176491,0
0.352982,1.527817,35.3,1.42888,2.0,0.001,0.176491,0
0.352982,1.629998,35.3,1.42551,2.0,0.001,0.176491,0
0.352982,1.736917,35.3,1.42037,2.0,0.001,0.176491,0
0.352982,1.842592,35.3,1.42079,2.0,0.001,0.176491,0
0.352982,1.944981,35.3,1.4195,2.0,0.001,0.176491,0
0.352982,2.053198,35.3,1.41725,2.0,0.001,0.176491,0
0.352982,2.156161,35.3,1.41767,2.0,0.001,0.176491,0
0.352982,2.260869,35.3,1.41771,2.0,0.001,0.176491,0
0.352982,2.370784,35.3,1.41636,2.0,0.001,0.176491,0
0.352982,2.476135,35.3,1.41964,2.0,0.001,0.176491,0
0.352982,2.580571,35.3,1.41524,2.0,0.001,0.176491,0
0.352982,2.683182,35.3,1.41548,2.0,0.001,0.176491,0
0.352982,2.787356,35.3,1.41225,2.0,0.001,0.176491,0
0.352982,2.895706,35.3,1.41545,2.0,0.001,0.176491,0
0.352982,2.999685,35.3,1.41635,2.0,0.001,0.176491,0
0.373381,1.000589,37.34,1.50453,2.0,0.001,0.1866905,0
0.373381,1.103366,37.34,1.48287,2.0,0.001,0.1866905,0
0.373381,1.209432,37.34,1.46692,2.0,0.001,0.1866905,0
0.373381,1.315086,37.34,1.45376,2.0,0.001,0.1866905,0
0.373381,1.420821,37.34,1.45002,2.0,0.001,0.1866905,0
0.373381,1.527817,37.34,1.4423,2.0,0.001,0.1866905,0
0.373381,1.629998,37.34,1.43837,2.0,0.001,0.1866905,0
0.373381,1.842592,37.34,1.43449,2.0,0.001,0.1866905,0
0.373381,1.736917,37.34,1.43748,2.0,0.001,0.1866905,0
0.373381,1.944981,37.34,1.43618,2.0,0.001,0.1866905,0
0.373381,2.053198,37.34,1.4311,2.0,0.001,0.1866905,0
0.373381,2.156161,37.34,1.43273,2.0,0.001,0.1866905,0
0.373381,2.260869,37.34,1.42972,2.0,0.001,0.1866905,0
0.373381,2.370784,37.34,1.43225,2.0,0.001,0.1866905,0
0.373381,2.580571,37.34,1.43308,2.0,0.001,0.1866905,0
0.373381,2.476135,37.34,1.42837,2.0,0.001,0.1866905,0
0.373381,2.683182,37.34,1.43273,2.0,0.001,0.1866905,0
0.373381,2.787356,37.34,1.42841,2.0,0.001,0.1866905,0
0.373381,2.895706,37.34,1.43261,2.0,0.001,0.1866905,0
0.373381,2.999685,37.34,1.42856,2.0,0.001,0.1866905,0
0.394402,1.000589,39.44,1.53746,2.0,0.001,0.197201,0
0.394402,1.103366,39.44,1.51062,2.0,0.001,0.197201,0
0.394402,1.209432,39.44,1.4901,2.0,0.001,0.197201,0
0.394402,1.315086,39.44,1.47971,2.0,0.001,0.197201,0
0.394402,1.420821,39.44,1.47157,2.0,0.001,0.197201,0
0.394402,1.527817,39.44,1.46585,2.0,0.001,0.197201,0
0.394402,1.629998,39.44,1.46669,2.0,0.001,0.197201,0
0.394402,1.736917,39.44,1.4588,2.0,0.001,0.197201,0
0.394402,1.842592,39.44,1.46214,2.0,0.001,0.197201,0
0.394402,1.944981,39.44,1.46033,2.0,0.001,0.197201,0
0.394402,2.053198,39.44,1.45543,2.0,0.001,0.197201,0
0.394402,2.156161,39.44,1.45944,2.0,0.001,0.197201,0
0.394402,2.370784,39.44,1.45271,2.0,0.001,0.197201,0
0.394402,2.260869,39.44,1.45112,2.0,0.001,0.197201,0
0.394402,2.476135,39.44,1.45279,2.0,0.001,0.197201,0
0.394402,2.580571,39.44,1.45861,2.0,0.001,0.197201,0
0.394402,2.683182,39.44,1.45433,2.0,0.001,0.197201,0
0.394402,2.787356,39.44,1.45235,2.0,0.001,0.197201,0
0.394402,2.999685,39.44,1.45109,2.0,0.001,0.197201,0
0.394402,2.895706,39.44,1.4532,2.0,0.001,0.197201,0
0.415456,1.000589,41.55,1.57266,2.0,0.001,0.207728,0
0.415456,1.103366,41.55,1.54825,2.0,0.001,0.207728,0
0.415456,1.209432,41.55,1.52389,2.0,0.001,0.207728,0
0.415456,1.315086,41.55,1.51462,2.0,0.001,0.207728,0
0.415456,1.420821,41.55,1.50412,2.0,0.001,0.207728,0
0.415456,1.527817,41.55,1.49759,2.0,0.001,0.207728,0
0.415456,1.629998,41.55,1.49747,2.0,0.001,0.207728,0
0.415456,1.736917,41.55,1.48936,2.0,0.001,0.207728,0
0.415456,1.842592,41.55,1.49168,2.0,0.001,0.207728,0
0.415456,1.944981,41.55,1.48542,2.0,0.001,0.207728,0
0.415456,2.156161,41.55,1.48808,2.0,0.001,0.207728,0
0.415456,2.053198,41.55,1.48579,2.0,0.001,0.207728,0
0.415456,2.260869,41.55,1.48424,2.0,0.001,0.207728,0
0.415456,2.370784,41.55,1.48395,2.0,0.001,0.207728,0
0.415456,2.476135,41.55,1.48227,2.0,0.001,0.207728,0
0.415456,2.580571,41.55,1.48436,2.0,0.001,0.207728,0
0.415456,2.787356,41.55,1.48236,2.0,0.001,0.207728,0
0.415456,2.683182,41.55,1.48084,2.0,0.001,0.207728,0
0.415456,2.895706,41.55,1.48193,2.0,0.001,0.207728,0
0.415456,2.999685,41.55,1.48406,2.0,0.001,0.207728,0
0.436636,1.000589,43.66,1.60918,2.0,0.001,0.218318,0
0.436636,1.315086,43.66,1.5439,2.0,0.001,0.218318,0
0.436636,1.209432,43.66,1.55655,2.0,0.001,0.218318,0
0.436636,1.103366,43.66,1.5791,2.0,0.001,0.218318,0
0.436636,1.420821,43.66,1.53003,2.0,0.001,0.218318,0
0.436636,1.527817,43.66,1.52758,2.0,0.001,0.218318,0
0.436636,1.629998,43.66,1.52287,2.0,0.001,0.218318,0
0.436636,1.736917,43.66,1.52131,2.0,0.001,0.218318,0
0.436636,1.842592,43.66,1.51798,2.0,0.001,0.218318,0
0.436636,1.944981,43.66,1.51155,2.0,0.001,0.218318,0
0.436636,2.053198,43.66,1.51516,2.0,0.001,0.218318,0
0.436636,2.156161,43.66,1.51152,2.0,0.001,0.218318,0
0.436636,2.260869,43.66,1.512,2.0,0.001,0.218318,0
0.436636,2.476135,43.66,1.51211,2.0,0.001,0.218318,0
0.436636,2.370784,43.66,1.50865,2.0,0.001,0.218318,0
0.436636,2.580571,43.66,1.50993,2.0,0.001,0.218318,0
0.436636,2.787356,43.66,1.5139,2.0,0.001,0.218318,0
0.436636,2.683182,43.66,1.50776,2.0,0.001,0.218318,0
0.436636,2.895706,43.66,1.50742,2.0,0.001,0.218318,0
0.436636,2.999685,43.66,1.51232,2.0,0.001,0.218318,0
0.457921,1.000589,45.79,1.64369,2.0,0.001,0.2289605,0
0.457921,1.103366,45.79,1.60861,2.0,0.001,0.2289605,0
0.457921,1.209432,45.79,1.58983,2.0,0.001,0.2289605,0
0.457921,1.315086,45.79,1.57261,2.0,0.001,0.2289605,0
0.457921,1.420821,45.79,1.55844,2.0,0.001,0.2289605,0
0.457921,1.527817,45.79,1.55559,2.0,0.001,0.2289605,0
0.457921,1.736917,45.79,1.54912,2.0,0.001,0.2289605,0
0.457921,1.629998,45.79,1.54795,2.0,0.001,0.2289605,0
0.457921,1.842592,45.79,1.54155,2.0,0.001,0.2289605,0
0.457921,1.944981,45.79,1.53975,2.0,0.001,0.2289605,0
0.457921,2.053198,45.79,1.54124,2.0,0.001,0.2289605,0
0.457921,2.260869,45.79,1.54139,2.0,0.001,0.2289605,0
0.457921,2.156161,45.79,1.53731,2.0,0.001,0.2289605,0
0.457921,2.370784,45.79,1.53578,2.0,0.001,0.2289605,0
0.457921,2.476135,45.79,1.54173,2.0,0.001,0.2289605,0
0.457921,2.580571,45.79,1.53666,2.0,0.001,0.2289605,0
0.457921,2.683182,45.79,1.5352,2.0,0.001,0.2289605,0
