diameter,x_center,U_inlet,Re,Cd
0.149,1.332,10.0,99333.33333333333,0.9298056375838927
0.149,1.332,12.5,124166.66666666666,0.9354798389261746
0.149,1.332,15.0,149000.0,0.9337783743475019
0.149,1.332,17.5,173833.3333333333,0.938271907957814
0.149,1.332,20.0,198666.66666666666,0.9383080536912753
0.149,1.332,5.0,49666.666666666664,0.9478930469798659
0.149,1.332,7.5,74500.0,0.9268879940343028
0.149,1.664,10.0,99333.33333333333,0.9272397315436243
0.149,1.664,12.5,124166.66666666666,0.934029744966443
0.149,1.664,15.0,149000.0,0.9330926771066369
0.149,1.664,17.5,173833.3333333333,0.9332911108067388
0.149,1.664,20.0,198666.66666666666,0.9350046979865774
0.149,1.664,5.0,49666.666666666664,0.9465331543624161
0.149,1.664,7.5,74500.0,0.9271037136465324
0.149,2.004,10.0,99333.33333333333,0.9176461744966444
0.149,2.004,12.5,124166.66666666666,0.924999989261745
0.149,2.004,15.0,149000.0,0.9232912751677853
0.149,2.004,17.5,173833.3333333333,0.9223170524585673
0.149,2.004,20.0,198666.66666666666,0.925358389261745
0.149,2.004,5.0,49666.666666666664,0.9236524026845638
0.149,2.004,7.5,74500.0,0.9152768381804623
0.149,2.332,10.0,99333.33333333333,0.9226429530201343
0.149,2.332,12.5,124166.66666666666,0.9293318872483222
0.149,2.332,15.0,149000.0,0.9288981953765847
0.149,2.332,17.5,173833.3333333333,0.9289502259964387
0.149,2.332,20.0,198666.66666666666,0.9305429530201343
0.149,2.332,5.0,49666.666666666664,0.9374504161073826
0.149,2.332,7.5,74500.0,0.9202913646532439
0.149,2.659,10.0,99333.33333333333,0.929813422818792
0.149,2.659,12.5,124166.66666666666,0.9318393127516779
0.149,2.659,15.0,149000.0,0.9304649067859807
0.149,2.659,17.5,173833.3333333333,0.9274600191754554
0.149,2.659,20.0,198666.66666666666,0.9377657718120805
0.149,2.659,5.0,49666.666666666664,0.9435719731543625
0.149,2.659,7.5,74500.0,0.919635615212528
0.149,2.998,10.0,99333.33333333333,0.9093616107382552
0.149,2.998,12.5,124166.66666666666,0.9181594630872484
0.149,2.998,15.0,149000.0,0.9182689932885906
0.149,2.998,17.5,173833.3333333333,0.9188702917408574
0.149,2.998,20.0,198666.66666666666,0.9205489932885906
0.149,2.998,5.0,49666.666666666664,0.9282128322147652
0.149,2.998,7.5,74500.0,0.9078932140193886
0.2,1.0,10.0,133333.33333333334,1.015145
0.2,1.0,12.5,166666.66666666666,1.025180032
0.2,1.0,15.0,200000.0,1.023975111111111
0.2,1.0,17.5,233333.3333333333,1.0245844897959184
0.2,1.0,20.0,266666.6666666667,1.0268735
0.2,1.0,5.0,66666.66666666667,1.028368
0.2,1.0,7.5,100000.0,1.009760711111111
0.2,1.332,10.0,133333.33333333334,0.9848750000000001
0.2,1.332,12.5,166666.66666666666,0.986125312
0.2,1.332,15.0,200000.0,0.9942435555555555
0.2,1.332,17.5,233333.3333333333,0.9945325714285714
0.2,1.332,20.0,266666.6666666667,0.9941264999999999
0.2,1.332,5.0,66666.66666666667,0.9973048
0.2,1.332,7.5,100000.0,0.9756753777777778
0.2,1.664,10.0,133333.33333333334,0.97983
0.2,1.664,12.5,166666.66666666666,0.987942528
0.2,1.664,15.0,200000.0,0.9876115555555556
0.2,1.664,17.5,233333.3333333333,0.9886661224489796
0.2,1.664,20.0,266666.6666666667,0.990494
0.2,1.664,5.0,66666.66666666667,1.0011896
0.2,1.664,7.5,100000.0,0.9780792888888888
0.2,2.004,10.0,133333.33333333334,0.9682867999999999
0.2,2.004,12.5,166666.66666666666,0.978309632
