diameter,x_center,Re,Cd,blockage_ratio,flow_regime,U_inlet
0.457921,2.053198,45.79,1.54124,0.2289605,0,
0.457921,2.260869,45.79,1.54139,0.2289605,0,
0.457921,2.156161,45.79,1.53731,0.2289605,0,
0.457921,2.370784,45.79,1.53578,0.2289605,0,
0.457921,2.476135,45.79,1.54173,0.2289605,0,
0.457921,2.580571,45.79,1.53666,0.2289605,0,
0.457921,2.683182,45.79,1.5352,0.2289605,0,
0.457921,2.787356,45.79,1.54094,0.2289605,0,
0.457921,2.895706,45.79,1.53406,0.2289605,0,
0.457921,2.999685,45.79,1.542,0.2289605,0,
0.478876,1.103366,47.89,1.63702,0.239438,0,
0.478876,1.000589,47.89,1.67361,0.239438,0,
0.478876,1.209432,47.89,1.61964,0.239438,0,
0.478876,1.315086,47.89,1.59848,0.239438,0,
0.478876,1.420821,47.89,1.59071,0.239438,0,
0.478876,1.527817,47.89,1.57894,0.239438,0,
0.478876,1.629998,47.89,1.57595,0.239438,0,
0.478876,1.736917,47.89,1.57477,0.239438,0,
0.478876,1.842592,47.89,1.56912,0.239438,0,
0.478876,1.944981,47.89,1.5706,0.239438,0,
0.478876,2.053198,47.89,1.56647,0.239438,0,
0.478876,2.156161,47.89,1.56692,0.239438,0,
0.478876,2.260869,47.89,1.56929,0.239438,0,
0.478876,2.370784,47.89,1.56684,0.239438,0,
0.478876,2.580571,47.89,1.56413,0.239438,0,
0.478876,2.476135,47.89,1.56266,0.239438,0,
0.478876,2.683182,47.89,1.566,0.239438,0,
0.478876,2.787356,47.89,1.56593,0.239438,0,
0.478876,2.895706,47.89,1.56604,0.239438,0,
0.478876,2.999685,47.89,1.5663,0.239438,0,
0.49978,1.209432,49.98,1.6549,0.24989,0,
0.49978,1.000589,49.98,1.71646,0.24989,0,
0.49978,1.103366,49.98,1.68017,0.24989,0,
0.49978,1.315086,49.98,1.63963,0.24989,0,
0.49978,1.420821,49.98,1.62905,0.24989,0,
0.49978,1.527817,49.98,1.62019,0.24989,0,
0.49978,1.629998,49.98,1.61679,0.24989,0,
0.49978,1.842592,49.98,1.6095,0.24989,0,
0.49978,1.736917,49.98,1.61031,0.24989,0,
0.49978,1.944981,49.98,1.60706,0.24989,0,
0.49978,2.156161,49.98,1.60355,0.24989,0,
0.49978,2.053198,49.98,1.60474,0.24989,0,
0.49978,2.260869,49.98,1.60202,0.24989,0,
0.49978,2.370784,49.98,1.60378,0.24989,0,
0.49978,2.476135,49.98,1.60547,0.24989,0,
0.49978,2.580571,49.98,1.60402,0.24989,0,
0.49978,2.683182,49.98,1.6036,0.24989,0,
0.49978,2.787356,49.98,1.60034,0.24989,0,
0.49978,2.895706,49.98,1.60209,0.24989,0,
0.49978,2.999685,49.98,1.60028,0.24989,0,
0.05,1.0,33333.333333333336,0.8931408,0.025,1,10.0
0.05,1.0,41666.66666666666,0.901136384,0.025,1,12.5
0.05,1.0,50000.0,0.9011345777777778,0.025,1,15.0
0.05,1.0,58333.33333333333,0.9024663510204082,0.025,1,17.5
0.05,1.0,66666.66666666667,0.9047458,0.025,1,20.0
0.05,1.0,16666.666666666668,0.91072352,0.025,1,5.0
0.05,1.0,25000.0,0.89073664,0.025,1,7.5
0.05,1.332,33333.333333333336,0.9097208,0.025,1,10.0
0.05,1.332,41666.66666666666,0.917794816,0.025,1,12.5
0.05,1.332,50000.0,0.9177560888888888,0.025,1,15.0
0.05,1.332,58333.33333333333,0.9190713469387756,0.025,1,17.5
0.05,1.332,66666.66666666667,0.9213608,0.025,1,20.0
0.05,1.332,16666.666666666668,0.92805504,0.025,1,5.0
0.05,1.332,25000.0,0.9074194488888888,0.025,1,7.5
0.05,1.664,33333.333333333336,0.919772,0.025,1,10.0
0.05,1.664,41666.66666666666,0.92797952,0.025,1,12.5
0.05,1.664,50000.0,0.9279740444444444,0.025,1,15.0
0.05,1.664,58333.33333333333,0.9293257142857144,0.025,1,17.5
0.05,1.664,66666.66666666667,0.9316498,0.025,1,20.0
0.05,1.664,16666.666666666668,0.9375904,0.025,1,5.0
0.05,1.664,25000.0,0.9168456533333332,0.025,1,7.5
0.05,2.004,33333.333333333336,0.9002424,0.025,1,10.0
0.05,2.004,41666.66666666666,0.908288512,0.025,1,12.5
0.05,2.004,50000.0,0.9082862222222222,0.025,1,15.0
0.05,2.004,58333.33333333333,0.9096108408163266,0.025,1,17.5
0.05,2.004,66666.66666666667,0.9118882,0.025,1,20.0
0.05,2.004,16666.666666666668,0.91717216,0.025,1,5.0
0.05,2.004,25000.0,0.8980279466666666,0.025,1,7.5
0.05,2.332,33333.333333333336,0.9130112,0.025,1,10.0
0.05,2.332,41666.66666666666,0.921073664,0.025,1,12.5
0.05,2.332,50000.0,0.9210094222222224,0.025,1,15.0
0.05,2.332,58333.33333333333,0.9223100081632652,0.025,1,17.5
0.05,2.332,66666.66666666667,0.924583,0.025,1,20.0
0.05,2.332,16666.666666666668,0.93033504,0.025,1,5.0
0.05,2.332,25000.0,0.9109084444444444,0.025,1,7.5
0.05,2.659,33333.333333333336,0.9463368,0.025,1,10.0
0.05,2.659,41666.66666666666,0.95478272,0.025,1,12.5
